,model_name,runtime,load,params
0,GC,92.3161027678558,0.0078125,"(1,)"
1,GC,92.69482265348009,0.01171875,"(2,)"
2,GC,93.21935863797346,0.015625,"(3,)"
3,GC,93.32309903377615,0.01953125,"(4,)"
4,GC,93.37232522731692,0.0234375,"(5,)"
5,GC,91.66082894686915,0.02734375,"(6,)"
6,GC,89.5508684799925,0.03125,"(7,)"
7,GC,89.36794788258072,0.03515625,"(8,)"
8,GC,87.50082922588247,0.0390625,"(9,)"
9,GC,84.20095257823164,0.04296875,"(10,)"
10,GC,82.65879311927151,0.046875,"(11,)"
11,GC,83.08362813656184,0.05078125,"(12,)"
12,GC,83.14131157081613,0.0546875,"(13,)"
13,GC,82.04873074998122,0.05859375,"(14,)"
14,GC,82.50848222236075,0.0625,"(15,)"
15,GC,83.47885297664541,0.06640625,"(16,)"
16,GC,83.37110907051259,0.0703125,"(17,)"
17,GC,84.3532122640534,0.07421875,"(18,)"
18,GC,84.96748357795094,0.078125,"(19,)"
19,GC,85.93916499184847,0.08203125,"(20,)"
20,GC,86.91084640574604,0.0859375,"(21,)"
21,GC,87.87494125663787,0.08984375,"(22,)"
22,GC,88.82709819282768,0.09375,"(23,)"
23,GC,89.76192962675556,0.09765625,"(24,)"
24,GC,90.68653227312367,0.1015625,"(25,)"
25,GC,91.60661998362843,0.10546875,"(26,)"
26,GC,92.52554257830018,0.109375,"(27,)"
27,GC,93.435636771841,0.11328125,"(28,)"
28,GC,94.33852658121481,0.1171875,"(29,)"
29,GC,95.2304306555298,0.12109375,"(30,)"
30,GC,96.10720382758291,0.125,"(31,)"
31,GC,96.97569783469491,0.12890625,"(32,)"
32,GC,97.84419184180688,0.1328125,"(33,)"
33,GC,98.20011741871012,0.13671875,"(34,)"
34,GC,99.07721037638754,0.140625,"(35,)"
35,GC,99.95430333406496,0.14453125,"(36,)"
36,GC,100.83139629174241,0.1484375,"(37,)"
37,GC,101.69921810531358,0.15234375,"(38,)"
38,GC,102.55643933924148,0.15625,"(39,)"
39,GC,103.39960187203845,0.16015625,"(40,)"
40,GC,104.242299027454,0.1640625,"(41,)"
41,GC,105.08272190855457,0.16796875,"(42,)"
42,GC,105.90662493876329,0.171875,"(43,)"
43,GC,106.71492629191704,0.17578125,"(44,)"
44,GC,107.52322764507075,0.1796875,"(45,)"
45,GC,108.3286533216476,0.18359375,"(46,)"
46,GC,109.12106139709351,0.1875,"(47,)"
47,GC,109.91216484911628,0.19140625,"(48,)"
48,GC,110.6924190163193,0.1953125,"(49,)"
49,GC,111.4439226589683,0.19921875,"(50,)"
50,GC,112.18794812875956,0.203125,"(51,)"
51,GC,112.9263592974199,0.20703125,"(52,)"
52,GC,113.65727009548442,0.2109375,"(53,)"
53,GC,114.38783661244837,0.21484375,"(54,)"
54,GC,115.1062982282814,0.21875,"(55,)"
55,GC,115.81625574298349,0.22265625,"(56,)"
56,GC,116.52136968935163,0.2265625,"(57,)"
57,GC,117.2183276523573,0.23046875,"(58,)"
58,GC,117.91484264815998,0.234375,"(59,)"
